start,end,downloads,package
2015-01-01,2015-01-31,7627,tidyr
2015-02-01,2015-02-28,8049,tidyr
2015-03-01,2015-03-31,13191,tidyr
2015-04-01,2015-04-30,16249,tidyr
2015-05-01,2015-05-31,20210,tidyr
2015-06-01,2015-06-30,19888,tidyr
2015-07-01,2015-07-31,19815,tidyr
2015-08-01,2015-08-31,29350,tidyr
2015-09-01,2015-09-30,39464,tidyr
2015-10-01,2015-10-31,35158,tidyr
2015-11-01,2015-11-30,40149,tidyr
2015-12-01,2015-12-31,37687,tidyr
2016-01-01,2016-01-31,46936,tidyr
2016-02-01,2016-02-29,49331,tidyr
2016-03-01,2016-03-31,42703,tidyr
2016-04-01,2016-04-30,41035,tidyr
2016-05-01,2016-05-31,50518,tidyr
2016-06-01,2016-06-30,67284,tidyr
2016-07-01,2016-07-31,58306,tidyr
2016-08-01,2016-08-31,76095,tidyr
2016-09-01,2016-09-30,89380,tidyr
2016-10-01,2016-10-31,94287,tidyr
2016-11-01,2016-11-30,98622,tidyr
2016-12-01,2016-12-31,76684,tidyr
2017-01-01,2017-01-31,134609,tidyr
2017-02-01,2017-02-28,131641,tidyr
2017-03-01,2017-03-31,145058,tidyr
2017-04-01,2017-04-30,134384,tidyr
2017-05-01,2017-05-31,184607,tidyr
2017-06-01,2017-06-30,145342,tidyr
2017-07-01,2017-07-31,125122,tidyr
2017-08-01,2017-08-31,154878,tidyr
2017-09-01,2017-09-30,200843,tidyr
2017-10-01,2017-10-31,227151,tidyr
2017-11-01,2017-11-30,234112,tidyr
2017-12-01,2017-12-31,228197,tidyr
2018-01-01,2018-01-31,226558,tidyr
2018-02-01,2018-02-28,252388,tidyr
2018-03-01,2018-03-31,263560,tidyr
2018-04-01,2018-04-30,267606,tidyr
2018-05-01,2018-05-31,284652,tidyr
2018-06-01,2018-06-30,251895,tidyr
2018-07-01,2018-07-31,237847,tidyr
2018-08-01,2018-08-31,229062,tidyr
2018-09-01,2018-09-30,302012,tidyr
2018-10-01,2018-10-31,378314,tidyr
2018-11-01,2018-11-30,385559,tidyr
2018-12-01,2018-12-31,295468,tidyr
2019-01-01,2019-01-31,344451,tidyr
2019-02-01,2019-02-28,347816,tidyr
2019-03-01,2019-03-31,485618,tidyr
2019-04-01,2019-04-30,475300,tidyr
2019-05-01,2019-05-31,499586,tidyr
2019-06-01,2019-06-30,404579,tidyr
2019-07-01,2019-07-31,461707,tidyr
2019-08-01,2019-08-31,473287,tidyr
2019-09-01,2019-09-30,723209,tidyr
2019-10-01,2019-10-31,808878,tidyr
2019-11-01,2019-11-30,744706,tidyr
2019-12-01,2019-12-31,744255,tidyr
2020-01-01,2020-01-31,881799,tidyr
2020-02-01,2020-02-29,902221,tidyr
2020-03-01,2020-03-31,919252,tidyr
2020-04-01,2020-04-21,538532,tidyr
2015-01-01,2015-01-31,40644,dplyr
2015-02-01,2015-02-28,48379,dplyr
2015-03-01,2015-03-31,50530,dplyr
2015-04-01,2015-04-30,56072,dplyr
2015-05-01,2015-05-31,57142,dplyr
2015-06-01,2015-06-30,66737,dplyr
2015-07-01,2015-07-31,53118,dplyr
2015-08-01,2015-08-31,62097,dplyr
2015-09-01,2015-09-30,95818,dplyr
2015-10-01,2015-10-31,93215,dplyr
2015-11-01,2015-11-30,92489,dplyr
2015-12-01,2015-12-31,82353,dplyr
2016-01-01,2016-01-31,94633,dplyr
2016-02-01,2016-02-29,96427,dplyr
2016-03-01,2016-03-31,95023,dplyr
2016-04-01,2016-04-30,95413,dplyr
2016-05-01,2016-05-31,119040,dplyr
2016-06-01,2016-06-30,133205,dplyr
2016-07-01,2016-07-31,143073,dplyr
2016-08-01,2016-08-31,141055,dplyr
2016-09-01,2016-09-30,177166,dplyr
2016-10-01,2016-10-31,202857,dplyr
2016-11-01,2016-11-30,212113,dplyr
2016-12-01,2016-12-31,163589,dplyr
2017-01-01,2017-01-31,250882,dplyr
2017-02-01,2017-02-28,292754,dplyr
2017-03-01,2017-03-31,299547,dplyr
2017-04-01,2017-04-30,246055,dplyr
2017-05-01,2017-05-31,238270,dplyr
2017-06-01,2017-06-30,306074,dplyr
2017-07-01,2017-07-31,291052,dplyr
2017-08-01,2017-08-31,266726,dplyr
2017-09-01,2017-09-30,388366,dplyr
2017-10-01,2017-10-31,398370,dplyr
2017-11-01,2017-11-30,389414,dplyr
2017-12-01,2017-12-31,323558,dplyr
2018-01-01,2018-01-31,346306,dplyr
2018-02-01,2018-02-28,331261,dplyr
2018-03-01,2018-03-31,382096,dplyr
2018-04-01,2018-04-30,424682,dplyr
2018-05-01,2018-05-31,449992,dplyr
2018-06-01,2018-06-30,424989,dplyr
2018-07-01,2018-07-31,441925,dplyr
2018-08-01,2018-08-31,404807,dplyr
2018-09-01,2018-09-30,515888,dplyr
2018-10-01,2018-10-31,689676,dplyr
2018-11-01,2018-11-30,682311,dplyr
2018-12-01,2018-12-31,522059,dplyr
2019-01-01,2019-01-31,671845,dplyr
2019-02-01,2019-02-28,720155,dplyr
2019-03-01,2019-03-31,775025,dplyr
2019-04-01,2019-04-30,843488,dplyr
2019-05-01,2019-05-31,987374,dplyr
2019-06-01,2019-06-30,811089,dplyr
2019-07-01,2019-07-31,918455,dplyr
2019-08-01,2019-08-31,828726,dplyr
2019-09-01,2019-09-30,1057781,dplyr
2019-10-01,2019-10-31,1170640,dplyr
2019-11-01,2019-11-30,1086121,dplyr
2019-12-01,2019-12-31,1020708,dplyr
2020-01-01,2020-01-31,1117659,dplyr
2020-02-01,2020-02-29,1270891,dplyr
2020-03-01,2020-03-31,1345344,dplyr
2020-04-01,2020-04-21,750747,dplyr
2015-01-01,2015-01-31,85349,ggplot2
2015-02-01,2015-02-28,95591,ggplot2
2015-03-01,2015-03-31,140066,ggplot2
2015-04-01,2015-04-30,146008,ggplot2
2015-05-01,2015-05-31,142558,ggplot2
2015-06-01,2015-06-30,134730,ggplot2
2015-07-01,2015-07-31,126061,ggplot2
2015-08-01,2015-08-31,136617,ggplot2
2015-09-01,2015-09-30,176111,ggplot2
2015-10-01,2015-10-31,195243,ggplot2
2015-11-01,2015-11-30,198381,ggplot2
2015-12-01,2015-12-31,181234,ggplot2
2016-01-01,2016-01-31,228779,ggplot2
2016-02-01,2016-02-29,247028,ggplot2
2016-03-01,2016-03-31,262481,ggplot2
2016-04-01,2016-04-30,219765,ggplot2
2016-05-01,2016-05-31,249214,ggplot2
2016-06-01,2016-06-30,236981,ggplot2
2016-07-01,2016-07-31,210707,ggplot2
2016-08-01,2016-08-31,226941,ggplot2
2016-09-01,2016-09-30,294401,ggplot2
2016-10-01,2016-10-31,326941,ggplot2
2016-11-01,2016-11-30,435630,ggplot2
2016-12-01,2016-12-31,335209,ggplot2
2017-01-01,2017-01-31,411301,ggplot2
2017-02-01,2017-02-28,407285,ggplot2
2017-03-01,2017-03-31,464633,ggplot2
2017-04-01,2017-04-30,433774,ggplot2
2017-05-01,2017-05-31,420708,ggplot2
2017-06-01,2017-06-30,359623,ggplot2
2017-07-01,2017-07-31,318111,ggplot2
2017-08-01,2017-08-31,311367,ggplot2
2017-09-01,2017-09-30,389654,ggplot2
2017-10-01,2017-10-31,450465,ggplot2
